0, 18, -81, 67, -125, 0, 3, -110, 13, 10]
serial-ports-server  | 27-05-2024 09:43:04.666 [Thread-2       ] INFO  c.j.s.service.WebSocketPublisher.lambda$publish$0 - Message sent to client 555d7ff9-5a4b-66d4-aebb-f21926c66bfa: [98, 50, 5, 95, 5, 95, 3, 100, 3, 5, 95, -126, 11, 4, 5, 43, -61, 90, 18, -81, 67, -125, 0, 3, -110, 13, 10]
serial-ports-server  | 27-05-2024 09:43:04.871 [Thread-2       ] INFO  c.j.s.s.l.SerialPortListenerImpl.serialEvent - On port Physical Port S0: Received the following delimited message: [119, 49, 3, 94, 3, 94, 0, 2, 0, 3, 94, -121, 109, 13, -15, 71, -61, 70, -11, 69, 67, 111, 0, 4, -1, 13, 10]
serial-ports-server  | 27-05-2024 09:43:04.872 [Thread-2       ] INFO  c.j.s.service.WebSocketPublisher.lambda$publish$0 - Message sent to client 555d7ff9-5a4b-66d4-aebb-f21926c66bfa: [119, 49, 3, 94, 3, 94, 0, 2, 0, 3, 94, -121, 109, 13, -15, 71, -61, 70, -11, 69, 67, 111, 0, 4, -1, 13, 10]
serial-ports-server  | 27-05-2024 09:43:05.237 [Thread-2       ] INFO  c.j.s.s.l.SerialPortListenerImpl.serialEvent - On port Physical Port S0: Received the following delimited message: [100, 51, 5, 8, 3, 4, 97, 101, 99, 3, -4, 127, 2, 115, -43, -10, 65, 93, 62, -96, 66, -128, 0, 7, -41, 13, 10]
serial-ports-server  | 27-05-2024 09:43:05.238 [Thread-2       ] INFO  c.j.s.service.WebSocketPublisher.lambda$publish$0 - Message sent to client 555d7ff9-5a4b-66d4-aebb-f21926c66bfa: [100, 51, 5, 8, 3, 4, 97, 101, 99, 3, -4, 127, 2, 115, -43, -10, 65, 93, 62, -96, 66, -128, 0, 7, -41, 13, 10]
serial-ports-server  | 27-05-2024 09:43:05.871 [Thread-2       ] INFO  c.j.s.s.l.SerialPortListenerImpl.serialEvent - On port Physical Port S0: Received the following delimited message: [119, 49, 3, 91, 3, 91, 0, 2, 0, 3, 91, -121, 109, 12, 8, 72, -61, 16, 26, 71, 67, 111, 0, 4, -2, 13, 10]
serial-ports-server  | 27-05-2024 09:43:05.872 [Thread-2       ] INFO  c.j.s.service.WebSocketPublisher.lambda$publish$0 - Message sent to client 555d7ff9-5a4b-66d4-aebb-f21926c66bfa: [119, 49, 3, 91, 3, 91, 0, 2, 0, 3, 91, -121, 109, 12, 8, 72, -61, 16, 26, 71, 67, 111, 0, 4, -2, 13, 10]
serial-ports-server  | 27-05-2024 09:43:06.237 [Thread-2       ] INFO  c.j.s.s.l.SerialPortListenerImpl.serialEvent - On port Physical Port S0: Received the following delimited message: [100, 51, 5, 8, 3, 4, 97, 101, 98, 3, -4, 127, 2, 41, -9, -10, 65, -122, 67, -96, 66, -128, 0, 9, -34, 13, 10]
serial-ports-server  | 27-05-2024 09:43:06.239 [Thread-2       ] INFO  c.j.s.service.WebSocketPublisher.lambda$publish$0 - Message sent to client 555d7ff9-5a4b-66d4-aebb-f21926c66bfa: [100, 51, 5, 8, 3, 4, 97, 101, 98, 3, -4, 127, 2, 41, -9, -10, 65, -122, 67, -96, 66, -128, 0, 9, -34, 13, 10]
serial-ports-server  | 27-05-2024 09:43:06.468 [Thread-2       ] INFO  c.j.s.s.l.SerialPortListenerImpl.serialEvent - On port Physical Port S0: Received the following delimited message: [98, 50, 5, 99, 5, 99, 3, 100, 3, 5, 99, -126, 13, -76, 50, 43, -61, 53, 46, -81, 67, -124, 0, 3, 117, 13, 10]
serial-ports-server  | 27-05-2024 09:43:06.469 [Thread-2       ] INFO  c.j.s.service.WebSocketPublisher.lambda$publish$0 - Message sent to client 555d7ff9-5a4b-66d4-aebb-f21926c66bfa: [98, 50, 5, 99, 5, 99, 3, 100, 3, 5, 99, -126, 13, -76, 50, 43, -61, 53, 46, -81, 67, -124, 0, 3, 117, 13, 10]
